Name,Value
Schedule,Mouse PAL Habituation 2 v2
Environment,Chamber1 [1]
Date/Time,28/01/2018 11:12:28
Database,Fmr1_PAL_2018
SessionId,9
Index,6
Version,N/A
MachineName,CI24689-2
SGuid,
Animal ID,341-blue
Application_Version,ABET II Touch 2.20.6316.18149
Max_Number_Trials,0
Max_Schedule_Time,1200
Schedule_Start_Time,2018-01-28T11:12:36.827

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
192.028,7,Pulse Output Event,Feeder #1,,5,1,Duration,0.28,,,,,,,,
192.028,3,Output On Event,TrayLight #1,,5,0,,,,,,,,,,
192.028,1,Condition Event,Pulse Tone if required 2,,5,0,,,,,,,,,,
192.028,7,Pulse Output Event,Sound_On #1,,5,1,Duration,1,,,,,,,,
192.028,21,Group Change Event,Group Change,,5,1,New Group,3,,,,,,,,
192.268,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
197.119,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
198.563,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,37,CoordY,95,,
199.219,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,67,CoordY,113,,
200.018,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,55,CoordY,67,,
200.962,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,74,CoordY,184,,
202.791,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
203.124,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
203.29,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
205.261,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
207.533,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
207.709,38,Input Transition On Event,Tray #1,,3,0,,,,,,,,,,
207.709,1,Condition Event,Note Tray Entry,,3,0,,,,,,,,,,
207.709,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,,,
207.709,16,Variable Event,Delay_Time,,3,1,Value,10,,,,,,,,
207.709,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
208.403,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,,,
208.403,1,Condition Event,Start Delay,,4,0,,,,,,,,,,
208.403,29,Timer Event,Delay_Timer,,4,1,Value,0,,,,,,,,
208.403,16,Variable Event,_Trial_Counter,,4,1,Value,6,,,,,,,,
208.403,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,,,
209.868,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
211.462,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
211.893,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,,,,,,,
214.983,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
216.252,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,,,,,,,
217.938,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
218.403,1,Condition Event,Feed again,,5,0,,,,,,,,,,
218.403,7,Pulse Output Event,Feeder #1,,5,1,Duration,0.28,,,,,,,,
218.403,3,Output On Event,TrayLight #1,,5,0,,,,,,,,,,
218.403,1,Condition Event,Pulse Tone if required 2,,5,0,,,,,,,,,,
218.403,7,Pulse Output Event,Sound_On #1,,5,1,Duration,1,,,,,,,,
218.403,21,Group Change Event,Group Change,,5,1,New Group,3,,,,,,,,
218.461,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
218.863,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
220.779,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
220.962,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
221.428,38,Input Transition On Event,Tray #1,,3,0,,,,,,,,,,
221.428,1,Condition Event,Note Tray Entry,,3,0,,,,,,,,,,
221.428,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,,,
221.428,16,Variable Event,Delay_Time,,3,1,Value,10,,,,,,,,
221.428,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
233.691,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,,,
233.691,1,Condition Event,Start Delay,,4,0,,,,,,,,,,
233.691,29,Timer Event,Delay_Timer,,4,1,Value,0,,,,,,,,
233.691,16,Variable Event,_Trial_Counter,,4,1,Value,7,,,,,,,,
233.691,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,,,
234.289,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
236.765,38,Input Transition On Event,BIRBeam #1,,5,0,,,,,,,,,,
240.714,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
242.27,38,Input Transition On Event,BIRBeam #1,,5,0,,,,,,,,,,
243.691,1,Condition Event,Feed again,,5,0,,,,,,,,,,
243.691,7,Pulse Output Event,Feeder #1,,5,1,Duration,0.28,,,,,,,,
243.691,3,Output On Event,TrayLight #1,,5,0,,,,,,,,,,
